0.26001	5.5	24.13	87.4	
0.262192	5.35	24.13	87.5	
0.263992	5.48	24.13	87.6	
0.265534	5.53	24.13	87.7	
0.266809	5.54	24.13	87.8	
0.268528	5.45	24.13	87.9	
0.269906	5.59	24.13	88	
0.271813	5.7	24.13	88.1	
0.273448	5.71	24.13	88.2	
0.27465	5.71	24.13	88.3	
0.275558	5.78	24.13	88.4	
0.276932	5.8	24.13	88.5	
0.27894	5.82	24.13	88.6	
0.280426	5.84	24.13	88.7	
0.28169	5.9	24.13	88.8	
0.282965	5.88	24.13	88.9	
0.284495	5.98	24.13	89	
0.285633	6.02	24.13	89.1	
0.287026	6.07	24.13	89.2	
0.288268	6.07	24.13	89.3	
0.289603	6.1	24.13	89.4	
0.29129	6.13	24.13	89.5	
0.292483	6.15	24.13	89.6	
0.293427	6.19	24.13	89.7	
0.294724	6.16	24.13	89.8	
0.296209	6.3	24.13	89.9	
0.297708	6.36	24.13	90	
0.299401	6.38	24.13	90.1	
0.301205	6.43	24.13	90.2	
0.302755	6.58	24.13	90.3	
0.304507	6.66	24.13	90.4	
0.306091	6.63	24.13	90.5	
0.307031	6.64	24.13	90.6	
0.307977	6.65	24.13	90.7	
0.308833	6.63	24.13	90.8	
0.309981	6.74	24.13	90.9	
0.311526	6.81	24.13	91	
0.313185	6.76	24.13	91.1	
0.314861	6.8	24.13	91.2	
0.316356	6.91	24.13	91.3	
0.317965	7.03	24.13	91.4	
0.320205	7.11	24.13	91.5	
0.321234	7.2	24.13	91.6	
0.322893	7.13	24.13	91.7	
0.324465	7.24	24.13	91.8	
0.325733	7.26	24.13	91.9	
0.327118	7.34	24.13	92	
0.328192	7.24	24.13	92.1	
0.329598	7.25	24.13	92.2	
0.330688	7.36	24.13	92.3	
0.332116	7.46	24.13	92.4	
0.334113	7.48	24.13	92.5	
0.33557	7.55	24.13	92.6	
0.337496	7.47	24.13	92.7	
0.339443	7.6	24.13	92.8	
0.340832	7.63	24.13	92.9	
0.34188	7.62	24.13	93	
0.343053	7.75	24.13	93.1	
0.34459	7.8	24.13	93.2	
