0.8726	22.39	24.13	1.4	
0.866551	22.23	24.13	1.5	
0.860585	22.1	24.13	1.6	
0.853971	21.85	24.13	1.7	
0.847458	21.68	24.13	1.8	
0.838926	21.55	24.13	1.9	
0.834028	21.32	24.13	2	
0.82713	21.18	24.13	2.1	
0.821693	21.04	24.13	2.2	
0.814996	20.77	24.13	2.3	
0.810373	20.71	24.13	2.4	
0.804505	20.49	24.13	2.5	
0.798085	20.3	24.13	2.6	
0.791766	20.16	24.13	2.7	
0.784929	19.96	24.13	2.8	
0.778816	19.82	24.13	2.9	
0.772201	19.6	24.13	3	
0.765697	19.34	24.13	3.1	
0.757002	19.17	24.13	3.2	
0.749064	18.98	24.13	3.3	
0.742942	18.86	24.13	3.4	
0.735835	18.71	24.13	3.5	
0.73046	18.47	24.13	3.6	
0.724638	18.39	24.13	3.7	
0.719942	18.32	24.13	3.8	
0.712758	18.1	24.13	3.9	
0.707214	17.84	24.13	4	
0.70028	17.66	24.13	4.1	
0.694444	17.53	24.13	4.2	
0.688705	17.36	24.13	4.3	
0.684463	17.18	24.13	4.4	
0.677966	17.07	24.13	4.5	
0.672043	16.87	24.13	4.6	
0.665779	16.71	24.13	4.7	
0.659631	16.57	24.13	4.8	
0.653595	16.35	24.13	4.9	
0.647668	16.19	24.13	5	
0.641849	16.03	24.13	5.1	
0.634518	15.86	24.13	5.2	
0.628931	15.71	24.13	5.3	
0.622278	15.53	24.13	5.4	
0.617284	15.37	24.13	5.5	
0.611621	15.21	24.13	5.6	
0.606061	15.01	24.13	5.7	
0.60024	14.87	24.13	5.8	
0.595238	14.73	24.13	5.9	
0.589623	14.52	24.13	6	
0.58309	14.39	24.13	6.1	
0.577701	14.2	24.13	6.2	
0.571429	14.04	24.13	6.3	
0.566893	13.93	24.13	6.4	
0.56243	13.82	24.13	6.5	
0.561167	13.79	24.13	6.6	
0.558347	13.65	24.13	6.7	
0.554324	13.51	24.13	6.8	
0.548246	13.37	24.13	6.9	
0.542888	13.19	24.13	7	
0.536481	13	24.13	7.1	
0.529381	12.83	24.13	7.2	
0.522739	12.63	24.13	7.3	
0.51573	12.42	24.13	7.4	
0.508647	12.24	24.13	7.5	
0.502765	12.09	24.13	7.6	
0.495295	11.88	24.13	7.7	
0.48852	11.7	24.13	7.8	
0.481696	11.53	24.13	7.9	
0.474158	11.31	24.13	8	
0.4662	11.1	24.13	8.1	
0.457666	10.85	24.13	8.2	
0.44964	10.67	24.13	8.3	
0.441501	10.42	24.13	8.4	
0.433651	10.21	24.13	8.5	
0.425532	9.96	24.13	8.6	
0.41806	9.66	24.13	8.7	
0.411184	9.53	24.13	8.8	
0.404531	9.44	24.13	8.9	
0.398248	9.31	24.13	9	
0.39604	9.23	24.13	9.1	
0.396668	9.26	24.13	9.2	
0.396511	9.22	24.13	9.3	
0.394011	9.14	24.13	9.4	
0.389712	9.01	24.13	9.5	
0.384025	8.86	24.13	9.6	
0.378501	8.75	24.13	9.7	
0.372578	8.51	24.13	9.8	
0.365497	8.36	24.13	9.9	
0.359066	8.21	24.13	10	
0.353107	8.03	24.13	10.1	
0.346861	7.89	24.13	10.2	
0.3427	7.79	24.13	10.3	
0.339328	7.65	24.13	10.4	
0.335796	7.53	24.13	10.5	
0.330797	7.46	24.13	10.6	
0.326052	7.32	24.13	10.7	
0.320205	7.16	24.13	10.8	
0.313676	6.96	24.13	10.9	
0.306937	6.73	24.13	11	
0.30021	6.55	24.13	11.1	
0.292912	6.33	24.13	11.2	
0.286697	6.12	24.13	11.3	
0.279877	5.95	24.13	11.4	
0.273299	5.8	24.13	11.5	
0.267165	5.62	24.13	11.6	
0.264061	5.5	24.13	11.7	
0.264201	5.48	24.13	11.8	
0.264971	5.46	24.13	11.9	
0.264061	5.38	24.13	12	
0.260824	5.37	24.13	12.1	
